confidence	true	predicted	sentence
0.624	ask_howdoing	out_of_scope	come stai?
0.627	out_of_scope	ask_builder	who is the president of india ?
0.641	canthelp	out_of_scope	and that's it?
0.654	ask_whatspossible	human_handoff	talk to me!
0.656	ask_which_events	ask_when_next_event	will there be an event in my city?
0.663	deny	greet	noooooooooooooooooooooooooooooooooooooooo
0.671	out_of_scope	enter_data	i dont like bots

CONFIDENT HITS	 	 	 
1.000	enter_data	enter_data	language = german
1.000	enter_data	enter_data	language: english
1.000	enter_data	enter_data	language = french
1.000	greet	greet	rasa hello
1.000	enter_data	enter_data	it’s only in english but i plan to train it in other languages
1.000	enter_data	enter_data	it’s only in mandarin but i plan to train it in other languages
1.000	enter_data	enter_data	i want to build a health insurance bot
1.000	enter_data	enter_data	the bot speaks spanish
1.000	enter_data	enter_data	i work for stanford university
1.000	enter_data	enter_data	a wolf bot
1.000	enter_data	enter_data	the language is chinese
1.000	enter_data	enter_data	it’s only in german but i plan to train it in other languages
1.000	enter_data	enter_data	chinese is the language of my bot
1.000	enter_data	enter_data	language: chinese
1.000	enter_data	enter_data	customer service automation bot
1.000	enter_data	enter_data	it’s only in spanish but i plan to train it in other languages
1.000	enter_data	enter_data	25,000
1.000	enter_data	enter_data	a health bot
1.000	enter_data	enter_data	until now it’s only in mandarin
1.000	enter_data	enter_data	it’s trained in german
1.000	enter_data	enter_data	i’ve trained it in dutch
1.000	enter_data	enter_data	i'm the developer
1.000	enter_data	enter_data	i work in biz dev
0.999	enter_data	enter_data	the assistant speaks english
0.999	enter_data	enter_data	__email_address__
0.999	enter_data	enter_data	it’s trained only in spanish
0.999	enter_data	enter_data	my name is __person_name__
0.999	enter_data	enter_data	i’ve trained it in spanish
0.999	enter_data	enter_data	it’s in spanish
0.999	enter_data	enter_data	__email_address__
0.999	enter_data	enter_data	the bot speaks english
0.999	enter_data	enter_data	__email_address__
0.999	enter_data	enter_data	100000
0.999	enter_data	enter_data	it’s an chinese bot
0.999	enter_data	enter_data	__person_name__
0.999	enter_data	enter_data	i wrote it in chinese
0.999	enter_data	enter_data	2 million
0.999	enter_data	enter_data	user can talk to my bot in dutch
0.999	enter_data	enter_data	it’s available in german
0.999	enter_data	enter_data	__email_address__
0.999	enter_data	enter_data	it speaks italian
0.999	enter_data	enter_data	it speaks mandarin
0.999	enter_data	enter_data	__email_address__
0.999	enter_data	enter_data	__person_name____person_name__
0.999	enter_data	enter_data	until now it’s only in english
0.999	enter_data	enter_data	__person_name__'s company
0.999	enter_data	enter_data	__person_name__
0.999	enter_data	enter_data	__person_name__
0.999	enter_data	enter_data	__person_name__
0.999	enter_data	enter_data	__person_name__'s company

UNCONFIDENT HITS	 	 	 
0.134	out_of_scope	out_of_scope	i want to know current situtation in pakistan
0.220	ask_how_contribute	ask_how_contribute	i want to put some of my effort in.
0.227	out_of_scope	out_of_scope	some thing else
0.233	signup_newsletter	signup_newsletter	get the latest news from rasa
0.269	ask_why_contribute	ask_why_contribute	why help rasa's organization?
0.303	out_of_scope	out_of_scope	that link doesn't work!
0.309	enter_data	enter_data	my budget is oov
0.340	pipeline_recommendation	pipeline_recommendation	what i a good pipeline to start with?
0.340	deny	deny	i decline
0.361	enter_data	enter_data	able to integrate with paypal, wordpress, facebook andd twilio
0.362	greet	greet	halo
0.363	technical_question	technical_question	what does on-premise mean?
0.373	nlu_generation_tool_recommendation	nlu_generation_tool_recommendation	i require more nlu data
0.382	ask_howold	ask_howold	when do you celebrate your day of birth?
0.401	out_of_scope	out_of_scope	alexa, order 5 tons of natrium chloride
0.401	technical_question	technical_question	ok quick question here do i download this api
0.418	pipeline_recommendation	pipeline_recommendation	what pipeline is better for what i want?
0.423	ask_howbuilt	ask_howbuilt	i'd like to know how you were put together?
0.434	enter_data	enter_data	a great one
0.436	telljoke	telljoke	tell me something that you think will make me laugh.
0.439	ask_question_in_forum	ask_question_in_forum	where do i post my question?
0.440	pipeline_recommendation	pipeline_recommendation	recommend pipeline
0.440	ask_why_contribute	ask_why_contribute	why help out?
0.441	ask_faq_differencecorenlu	ask_faq_differencecorenlu	what facts diverge core from nlu?
0.442	ask_whoisit	ask_whoisit	u are?
0.450	out_of_scope	out_of_scope	oh my god, not again!
0.450	handleinsult	handleinsult	you lack understanding.
0.452	ask_faq_python_version	ask_faq_python_version	which python version should i install to run rasa example?
0.453	enter_data	enter_data	i book a bus ticket
0.455	switch	switch	how to export dialogflow data to rasa
0.455	install_rasa	install_rasa	can you help me with installation
0.459	react_positive	react_positive	that was a great interaction
0.460	ask_faq_differencecorenlu	ask_faq_differencecorenlu	how does core compare to nlu?
0.460	out_of_scope	out_of_scope	i am hungry, what should i do?
0.461	ask_wherefrom	ask_wherefrom	you live around here?
0.464	ask_whatismyname	ask_whatismyname	what am i called?
0.470	how_to_get_started	how_to_get_started	full framework
0.470	out_of_scope	out_of_scope	book a ticket
0.482	ask_wherefrom	ask_wherefrom	where did you grow up?
0.484	enter_data	enter_data	i'd like to build a transformer
0.493	out_of_scope	out_of_scope	sel me something
0.494	enter_data	enter_data	i use anaconda
0.499	nlu_info	nlu_info	i want to know if rasa works with duckling
0.499	handleinsult	handleinsult	sucker
0.501	ask_faq_python_version	ask_faq_python_version	what is python version required?
0.512	install_rasa	install_rasa	i want to use rasa stack
0.519	deny	deny	no i haven't decided yet if i want to sign up
0.526	technical_question	technical_question	what infrastructure is required to run a bot?
0.530	ask_faq_python_version	ask_faq_python_version	which version of python do i need
0.538	nlu_info	nlu_info	recognition
