confidence	true	predicted	sentence
0.945	neg.	pos.	movie fans , get ready to take off ... the other direction . 
0.944	neg.	pos.	chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama . 
0.942	pos.	neg.	on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . 
0.941	pos.	neg.	we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . 
0.941	pos.	neg.	generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes . 
0.940	pos.	neg.	no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes . 
0.938	neg.	pos.	has all the depth of a wading pool . 
0.937	neg.	pos.	i 'll bet the video game is a lot more fun than the film . 
0.935	neg.	pos.	rarely has leukemia looked so shimmering and benign . 
0.924	neg.	pos.	at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . 
0.919	neg.	pos.	sit through this one , and you wo n't need a magic watch to stop time ; your dvd player will do it for you . 

UNCONFIDENT MISTAKES	 	 	 
0.502	neg.	pos.	if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . 
0.512	pos.	neg.	mcconaughey 's fun to watch , the dragons are okay , not much fire in the script . 
0.534	pos.	neg.	it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . 
0.539	pos.	neg.	collateral damage finally delivers the goods for schwarzenegger fans . 
0.579	neg.	pos.	even the finest chef ca n't make a hotdog into anything more than a hotdog , and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy . 
0.599	neg.	pos.	that 's pure pr hype . 
0.603	neg.	pos.	combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . 
0.605	pos.	neg.	( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . 
0.623	neg.	pos.	to say this was done better in wilder 's some like it hot is like saying the sun rises in the east . 
0.634	neg.	pos.	the only excitement comes when the credits finally roll and you get to leave the theater . 
0.637	neg.	pos.	by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . 
0.644	pos.	neg.	drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why . 
0.645	neg.	pos.	the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . 
0.651	pos.	neg.	a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . 
0.684	neg.	pos.	it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that . 
0.692	neg.	pos.	it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . 
0.713	pos.	neg.	... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young gaghan 's resume . 
0.718	neg.	pos.	holden caulfield did it better . 
0.727	neg.	pos.	an unwise amalgam of broadcast news and vibes . 
0.737	pos.	neg.	you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . 
0.755	neg.	pos.	but the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative . 
0.755	neg.	pos.	paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . 
0.757	pos.	neg.	for this reason and this reason only -- the power of its own steadfast , hoity-toity convictions -- chelsea walls deserves a medal . 
0.762	neg.	pos.	however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust . 
0.767	neg.	pos.	if looking for a thrilling sci-fi cinematic ride , do n't settle for this imposter . 
0.774	neg.	pos.	manages to be both repulsively sadistic and mundane . 
0.801	neg.	pos.	whaley 's determination to immerse you in sheer , unrelenting wretchedness is exhausting . 
0.802	neg.	pos.	sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . 
0.812	neg.	pos.	a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) . 
0.815	neg.	pos.	it takes a certain kind of horror movie to qualify as ` worse than expected , ' but ghost ship somehow manages to do exactly that . 
0.822	neg.	pos.	not an objectionable or dull film ; it merely lacks everything except good intentions . 
0.825	pos.	neg.	... mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . ' 
0.828	neg.	pos.	visually rather stunning , but ultimately a handsome-looking bore , the true creativity would have been to hide treasure planet entirely and completely reimagine it . 
0.844	neg.	pos.	for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . 
0.845	pos.	neg.	for anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of hell houses in particular , it 's an eye-opener . 
0.883	neg.	pos.	oh come on . 
0.884	neg.	pos.	the reality of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque . 
0.887	neg.	pos.	stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career . 
0.888	neg.	pos.	an absurdist comedy about alienation , separation and loss . 
0.892	pos.	neg.	while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer 
0.902	neg.	pos.	the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . 
0.905	pos.	neg.	aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . 
0.906	pos.	neg.	minority report is exactly what the title indicates , a report . 
0.919	neg.	pos.	sit through this one , and you wo n't need a magic watch to stop time ; your dvd player will do it for you . 
0.924	neg.	pos.	at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . 
0.935	neg.	pos.	rarely has leukemia looked so shimmering and benign . 
0.937	neg.	pos.	i 'll bet the video game is a lot more fun than the film . 
0.938	neg.	pos.	has all the depth of a wading pool . 
0.940	pos.	neg.	no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes . 
0.941	pos.	neg.	generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes . 

CONFIDENT HITS	 	 	 
0.996	pos.	pos.	it 's a charming and often affecting journey . 
0.996	pos.	pos.	immersing us in the endlessly inventive , fiercely competitive world of hip-hop djs , the project is sensational and revelatory , even if scratching makes you itch . 
0.996	pos.	pos.	altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece . 
0.996	pos.	pos.	there has always been something likable about the marquis de sade . 
0.996	pos.	pos.	a warm but realistic meditation on friendship , family and affection . 
0.996	pos.	pos.	it 's a remarkably solid and subtly satirical tour de force . 
0.996	pos.	pos.	director andrew niccol ... demonstrates a wry understanding of the quirks of fame . 
0.996	pos.	pos.	it all adds up to good fun . 
0.996	pos.	pos.	a very well-made , funny and entertaining picture . 
0.996	pos.	pos.	it 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children . 
0.996	pos.	pos.	an operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length . 
0.996	pos.	pos.	a giggle a minute . 
0.996	pos.	pos.	uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity . 
0.996	pos.	pos.	a good piece of work more often than not . 
0.996	pos.	pos.	an exhilarating futuristic thriller-noir , minority report twists the best of technology around a gripping story , delivering a riveting , pulse intensifying escapist adventure of the first order 
0.996	pos.	pos.	beautifully observed , miraculously unsentimental comedy-drama . 
0.996	pos.	pos.	yakusho and shimizu ... create engaging characterizations in imamura 's lively and enjoyable cultural mix . 
0.996	pos.	pos.	for movie lovers as well as opera lovers , tosca is a real treat . 
0.996	pos.	pos.	good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . 
0.996	pos.	pos.	a moody , multi-dimensional love story and sci-fi mystery , solaris is a thought-provoking , haunting film that allows the seeds of the imagination to germinate . 
0.996	pos.	pos.	( t ) his beguiling belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why . 
0.996	pos.	pos.	( chaiken 's ) talent lies in an evocative , accurate observation of a distinctive milieu and in the lively , convincing dialogue she creates for her characters . 
0.996	pos.	pos.	it inspires a continuing and deeply satisfying awareness of the best movies as monumental ` picture shows . ' 
0.996	pos.	pos.	gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive . 
0.996	pos.	pos.	the characters are interesting and often very creatively constructed from figure to backstory . 
0.996	pos.	pos.	reggio 's continual visual barrage is absorbing as well as thought-provoking . 
0.996	pos.	pos.	belongs to daniel day-lewis as much as it belongs to martin scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film . 
0.996	pos.	pos.	it 's a stunning lyrical work of considerable force and truth . 
0.996	pos.	pos.	an exquisitely crafted and acted tale . 
0.996	pos.	pos.	anchored by friel and williams 's exceptional performances , the film 's power lies in its complexity . 
0.996	pos.	pos.	the film is powerful , accessible and funny . 
0.996	pos.	pos.	a poignant and compelling story about relationships , food of love takes us on a bumpy but satisfying journey of the heart . 
0.996	pos.	pos.	as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . 
0.996	pos.	pos.	there is a fabric of complex ideas here , and feelings that profoundly deepen them . 
0.996	pos.	pos.	a romantic comedy enriched by a sharp eye for manners and mores . 
0.996	pos.	pos.	a rewarding work of art for only the most patient and challenge-hungry moviegoers . 
0.996	pos.	pos.	it 's also , clearly , great fun . 
0.996	pos.	pos.	the film 's performances are thrilling . 
0.996	pos.	pos.	a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . 
0.996	pos.	pos.	this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world . 
0.996	pos.	pos.	an artful , intelligent film that stays within the confines of a well-established genre . 
0.996	pos.	pos.	smart , provocative and blisteringly funny . 
0.996	pos.	pos.	the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure . 
0.996	pos.	pos.	as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers . 
0.996	pos.	pos.	affleck and jackson are good sparring partners . 
0.996	pos.	pos.	brilliantly explores the conflict between following one 's heart and following the demands of tradition . 
0.996	pos.	pos.	dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years . 
0.996	pos.	pos.	blanchett 's performance confirms her power once again . 
0.996	pos.	pos.	dense with characters and contains some thrilling moments . 
0.996	pos.	pos.	an entertaining , colorful , action-filled crime story with an intimate heart . 

UNCONFIDENT HITS	 	 	 
0.511	pos.	pos.	you will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report . 
0.512	pos.	pos.	hilariously inept and ridiculous . 
0.519	pos.	pos.	the movie is n't just hilarious : it 's witty and inventive , too , and in hindsight , it is n't even all that dumb . 
0.524	pos.	pos.	ramsay , as in ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid . 
0.532	neg.	neg.	manages to show life in all of its banality when the intention is quite the opposite . 
0.540	neg.	neg.	a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . 
0.540	neg.	neg.	with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood , windtalkers is nothing but a sticky-sweet soap . 
0.561	pos.	pos.	bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid . 
0.561	neg.	neg.	the film contains no good jokes , no good scenes , barely a moment when carvey 's saturday night live-honed mimicry rises above the level of embarrassment . 
0.561	neg.	neg.	it showcases carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff . 
0.563	pos.	pos.	the lion king was a roaring success when it was released eight years ago , but on imax it seems better , not just bigger . 
0.569	neg.	neg.	corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in . 
0.573	pos.	pos.	... routine , harmless diversion and little else . 
0.573	pos.	pos.	inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat . 
0.575	neg.	neg.	every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency . 
0.585	neg.	neg.	sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation . 
0.592	neg.	neg.	it made me want to wrench my eyes out of my head and toss them at the screen . 
0.599	pos.	pos.	so , too , is this comedy about mild culture clashing in today 's new delhi . 
0.619	neg.	neg.	davis ... is so enamored of her own creation that she ca n't see how insufferable the character is . 
0.622	pos.	pos.	it 's refreshing to see a girl-power movie that does n't feel it has to prove anything . 
0.622	pos.	pos.	a painfully funny ode to bad behavior . 
0.635	neg.	neg.	the lower your expectations , the more you 'll enjoy it . 
0.651	neg.	neg.	it 's played in the most straight-faced fashion , with little humor to lighten things up . 
0.658	pos.	pos.	huston nails both the glad-handing and the choking sense of hollow despair . 
0.665	neg.	neg.	the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . 
0.682	neg.	neg.	in all , this is a watchable movie that 's not quite the memorable experience it might have been . 
0.688	neg.	neg.	( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . 
0.690	pos.	pos.	it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . 
0.705	neg.	neg.	if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever . 
0.707	neg.	neg.	its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks . 
0.707	neg.	neg.	the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom . 
0.717	pos.	pos.	it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . 
0.717	pos.	pos.	in a way , the film feels like a breath of fresh air , but only to those that allow it in . 
0.721	neg.	neg.	the film makes a fatal mistake : it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life . 
0.723	pos.	pos.	charles ' entertaining film chronicles seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams ' attempts to get his shot at the big time . 
0.729	pos.	pos.	two hours fly by -- opera 's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated . 
0.739	neg.	neg.	vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . 
0.743	pos.	pos.	the primitive force of this film seems to bubble up from the vast collective memory of the combatants . 
0.745	pos.	pos.	intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject . 
0.749	pos.	pos.	a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . 
0.754	neg.	neg.	while the resident evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these . 
0.754	pos.	pos.	the film may appear naked in its narrative form ... but it goes deeper than that , to fundamental choices that include the complexity of the catholic doctrine 
0.756	pos.	pos.	not since tom cruise in risky business has an actor made such a strong impression in his underwear . 
0.765	pos.	pos.	woody allen 's latest is an ambling , broad comedy about all there is to love -- and hate -- about the movie biz . 
0.766	pos.	pos.	it 's about following your dreams , no matter what your parents think . 
0.767	pos.	pos.	funny but perilously slight . 
0.773	neg.	neg.	even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure . 
0.777	neg.	neg.	the iditarod lasts for days - this just felt like it did . 
0.784	neg.	neg.	the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . 
0.795	neg.	neg.	( e ) ventually , every idea in this film is flushed down the latrine of heroism . 
