confidence	true	predicted	sentence
0.970	unacc.	acc.	john offers many advice.
0.969	unacc.	acc.	if i am a rich man, i'd buy a diamond ring.
0.969	unacc.	acc.	agnes wondered how john could eat but it's not clear what.
0.968	unacc.	acc.	she said she had spoken to everybody, but he wasn't sure who.
0.967	unacc.	acc.	the box contained the ball from the tree.
0.967	unacc.	acc.	what the water did to the bottle was fill it.
0.966	unacc.	acc.	the ta's have been arguing about whether some student or other should pass, but i can't now remember which one.
0.966	unacc.	acc.	vote for you!
0.966	unacc.	acc.	the younger woman might have been tall and, and the older one definitely was, blond.
0.966	unacc.	acc.	john was tall, but i don't know on what occasions.
0.965	unacc.	acc.	what they feared most was to be no one available to help them.
0.965	unacc.	acc.	the more does bill smoke, the more susan hates him.
0.965	unacc.	acc.	protect you!
0.963	unacc.	acc.	bill ate the peaches, but harry the grapes.

UNCONFIDENT MISTAKES	 	 	 
0.519	acc.	unacc.	i am both expecting to get the job and of the opinion that it is a desirable one.
0.549	acc.	unacc.	john, told mary that it would be appropriate to leave together.
0.578	unacc.	acc.	i enjoy yourself.
0.616	acc.	unacc.	we recommend to eat less cake and pastry.
0.624	unacc.	acc.	john likes some students, but i don't know who john likes some students.
0.632	unacc.	acc.	which topic did you get bored because mary talked about?
0.665	unacc.	acc.	mickey looked up it.
0.677	unacc.	acc.	the bookcase ran
0.680	unacc.	acc.	we appeared to them to vote for themselves.
0.687	unacc.	acc.	the book of poems and from blackwell takes a very long time to read.
0.688	unacc.	acc.	terry delighted.
0.690	unacc.	acc.	here's a knife with which for you to cut up the onions.
0.691	unacc.	acc.	we relied above leslie.
0.695	unacc.	acc.	what did you leave before they started playing?
0.699	unacc.	acc.	it is painting by klee or drawing by miro that the museum displays no.
0.703	unacc.	acc.	the jeweller scribbled the contract with his name.
0.708	unacc.	acc.	it was to to amuse us that kim was singing that they wanted.
0.710	unacc.	acc.	john decided for bill to get the prize.
0.720	acc.	unacc.	do you believe the claim that somebody was looking for something?
0.721	unacc.	acc.	bother you that kim left!
0.724	unacc.	acc.	picture of bill, this girl in the red coat will put a picture of bill on your desk before tomorrow.
0.725	unacc.	acc.	that he was hungry, john whined.
0.725	acc.	unacc.	the tank leaked the fluid free.
0.763	acc.	unacc.	the magazines were sent by mary to herself.
0.769	unacc.	acc.	the monkeys proud of their leader.
0.773	unacc.	acc.	the only person whose kids dana is willing to put up with was written by john.
0.779	acc.	unacc.	i shaved myself.
0.788	acc.	unacc.	harry told sue that albania is a lovely place for a vacation, and tom.
0.788	unacc.	acc.	the defendant deny the allegation.
0.789	unacc.	acc.	which report that john was incompetent did he submit?
0.789	unacc.	acc.	arizona elected goldwater senator, and massachusetts, mccormack.
0.790	acc.	unacc.	on whom are you counting to incriminate himself?
0.792	unacc.	acc.	as you eat the most, you want the least.
0.798	acc.	unacc.	it mattered that the giants had lost.
0.802	acc.	unacc.	i kicked myself
0.808	unacc.	acc.	any trouble is what i don't want.
0.818	acc.	unacc.	the boat seen down the river sank.
0.823	unacc.	acc.	paperback books lift onto the table easily.
0.823	acc.	unacc.	john talked to bill about himself.
0.827	acc.	unacc.	mary likes to tour art galleries, but bill hates to.
0.830	acc.	unacc.	i talked to winston about himself.
0.833	unacc.	acc.	the book that i like - everyone else in the class hates.
0.835	acc.	unacc.	the idea dismayed the prime minister that the dome was dull.
0.836	acc.	unacc.	anson became a muscle bound.
0.838	acc.	unacc.	i saw even the student.
0.840	acc.	unacc.	i think agnes said that bill would speak, but i don't remember what about.
0.841	unacc.	acc.	millie will send the president an obscene telegram, and paul, the secretary a rude letter.
0.841	acc.	unacc.	bob tried to wash himself, and mary to read the funnies.
0.845	unacc.	acc.	any man didn't eat dinner.
0.845	acc.	unacc.	that banana is eating the monkey.

CONFIDENT HITS	 	 	 
0.985	acc.	acc.	that is the reason why he resigned.
0.985	acc.	acc.	i believe there to be no way out.
0.985	acc.	acc.	some people consider the dogs dangerous.
0.984	acc.	acc.	the witch poisoned the children.
0.984	acc.	acc.	fortunately hermione passed biology
0.984	acc.	acc.	captain wentworth wrote a letter to anne elliott.
0.984	acc.	acc.	the defendant denied the accusation.
0.984	acc.	acc.	i would prefer for john to leave.
0.984	acc.	acc.	the visitor rang the bell.
0.984	acc.	acc.	chris was handed a note.
0.984	acc.	acc.	people are looking through the window.
0.984	acc.	acc.	the police sprayed water on the protesters.
0.984	acc.	acc.	the butler sent the poison to dinah.
0.984	acc.	acc.	some people consider dogs dangerous.
0.984	acc.	acc.	the dog bit the cat.
0.984	acc.	acc.	i wrote to bill.
0.984	acc.	acc.	some people consider dogs in my neighborhood dangerous.
0.984	acc.	acc.	some people consider noisy dogs dangerous.
0.984	acc.	acc.	it was to john that i gave the book.
0.984	acc.	acc.	the cat got bitten.
0.984	acc.	acc.	mary saw the boy walking toward the railroad station.
0.984	acc.	acc.	emma and harriet were attacked yesterday.
0.984	acc.	acc.	some people consider the noisy dogs dangerous.
0.984	acc.	acc.	the wealthy young man bought that piano for his secret fiancée.
0.984	acc.	acc.	phillip gave the medal to the soldier.
0.984	acc.	acc.	the artist drew the child with a pencil.
0.984	acc.	acc.	the jury believed the defendant lied.
0.984	acc.	acc.	the patient died.
0.984	acc.	acc.	a grandfather clock ticked in the hallway.
0.984	acc.	acc.	there is a unicorn in the garden.
0.984	acc.	acc.	the police sprayed the protesters with water.
0.984	acc.	acc.	penny skated around the rink.
0.983	acc.	acc.	you wanted to meet the man i saw.
0.983	acc.	acc.	it annoys people that dogs bark.
0.983	acc.	acc.	we relied on leslie.
0.983	acc.	acc.	some people consider the dogs in my neighborhood dangerous.
0.983	acc.	acc.	the guests dined.
0.983	acc.	acc.	some people consider noisy dogs in my neighborhood dangerous.
0.983	acc.	acc.	mary thinks that she is smart.
0.983	acc.	acc.	bill sent a package to tom.
0.983	acc.	acc.	he was arrested by the police.
0.983	acc.	acc.	the bird sings.
0.983	acc.	acc.	john told mary that it would be important to leave early.
0.983	acc.	acc.	the teacher became angry with the students.
0.983	acc.	acc.	there is a nurse available.
0.983	acc.	acc.	the rules require that the executives be polite.
0.983	acc.	acc.	everyone hopes that he will sleep.
0.983	acc.	acc.	the man i saw get into the cab robbed the bank.
0.983	acc.	acc.	there is nothing to do.
0.983	acc.	acc.	i am counting on bill to get there on time.

UNCONFIDENT HITS	 	 	 
0.503	unacc.	unacc.	neither of students failed.
0.526	acc.	acc.	max seemed to be trying to force ted to leave the room, and walt, ira.
0.532	unacc.	unacc.	the book was by john written.
0.536	unacc.	unacc.	ourselves like ourselves.
0.554	acc.	acc.	who who you like does sandy also like?
0.586	unacc.	unacc.	which girl did mike quip never wore this hat?
0.587	acc.	acc.	carla slid the book.
0.613	acc.	acc.	you must pick any flower you see.
0.613	acc.	acc.	mary asked me if, in st. louis, john could rent a house cheap.
0.635	acc.	acc.	i read some of the book.
0.659	acc.	acc.	chocolate eggs were hidden from no child by any adult.
0.660	acc.	acc.	mary listens to the grateful dead, she gets depressed.
0.667	acc.	acc.	john bought a book on the table.
0.671	acc.	acc.	rusty talked about himself only after mary did talk about him.
0.675	acc.	acc.	books were taken from no student and given to mary.
0.675	acc.	acc.	i have much of the manuscript left to type.
0.676	acc.	acc.	it stinks that aphrodite is omnipotent.
0.677	acc.	acc.	they realised that never had sir thomas been so offended.
0.678	acc.	acc.	came right in he did without so much as a knock.
0.678	acc.	acc.	you kicked yourselves
0.679	acc.	acc.	it would prove our theory to be untenable for carrots to be vegetables.
0.683	acc.	acc.	that dog is so ferocious, it even tried to bite itself.
0.684	acc.	acc.	i wonder in whom to place my trust.
0.686	acc.	acc.	the horse that was raced past the barn fell.
0.702	acc.	acc.	how silly is bill considered?
0.707	unacc.	unacc.	john loaded the wagon with hay green.
0.713	unacc.	unacc.	the fort fluttered with many flags.
0.721	unacc.	unacc.	the table was wiped by john clean.
0.726	acc.	acc.	that fido barks annoys me.
0.728	acc.	acc.	how many feature structures categories can label the first daughter?
0.733	acc.	acc.	that acorn will grow into an oak tree.
0.742	unacc.	unacc.	the magazines were sent to herself by mary.
0.750	unacc.	unacc.	sentences some go on and on and on and on.
0.751	unacc.	unacc.	we gave us to the cause.
0.759	acc.	acc.	i'll work on it if sam will be working on it.
0.763	acc.	acc.	these cars drive easily.
0.765	unacc.	unacc.	the farmer dumped the cart with apples.
0.771	unacc.	unacc.	blue leather shows herself that betsy is pretty.
0.771	unacc.	unacc.	the book what inspired them was very long.
0.772	acc.	acc.	we investigated the area for bombs.
0.772	unacc.	unacc.	the children are fond that they have ice cream.
0.773	acc.	acc.	i no more could have stolen that steak than jack the diamonds.
0.779	unacc.	unacc.	i drank some of water.
0.781	unacc.	unacc.	there is believed to be sheep in the park.
0.795	acc.	acc.	the government's imposition of a fine.
0.797	unacc.	unacc.	some my jobs are in jeopardy.
0.799	acc.	acc.	nobody told susan about herself.
0.799	unacc.	unacc.	herself likes mary's mother.
0.801	acc.	acc.	there is a programme about euripides on a radio 4 tonight?
0.802	unacc.	unacc.	the defendants walks.
